ID,Zona,Año,Mes,Dia,Hora,Estacion,Longitud,Latitud,Profundidad_m,Transparencia_m,Profundidad_muestreo_m,Temperatura,Ph,Oxigeno_disuelto,Conductividad_electrica,PO4,NO2,NO3,Clorofila-A,SST
831,LAGO MAYOR,2024,AGO,23,07:35 a. m.,E39,-69.5276,-15.3748,12.0,8.0,0.5,12.7,8.61,6.74,1561.0,0.006,0.002,0.033,2.12,4.50
832,LAGO MAYOR,2024,AGO,23,09:00 a. m.,E41,-69.6009,-15.4392,247.0,10.5,0.5,13.0,8.59,6.66,1558.0,0.017,0.007,0.042,2.98,3.75
833,LAGO MAYOR,2024,AGO,23,10:45 a. m.,E42,-69.6685,-15.4967,234.0,10.0,0.5,14.4,8.48,6.47,1558.0,0.062,0.003,0.171,1.45,6.25
834,LAGO MAYOR,2024,AGO,23,01:20 p. m.,E43,-69.7411,-15.5603,204.0,12.5,0.5,13.9,8.57,6.45,1556.0,0.100,0.003,0.039,0.94,7.00
835,LAGO MAYOR,2024,AGO,24,05:02 p. m.,E48,-69.3597,-15.5361,11.3,9.0,0.5,13.5,8.61,6.74,1560.0,0.015,0.003,0.071,0.43,6.11
836,LAGO MAYOR,2024,AGO,24,04:30 p. m.,E49,-69.4449,-15.6063,215.0,11.0,0.5,13.8,8.62,6.58,1559.0,0.027,0.002,0.054,1.45,1.00
837,LAGO MAYOR,2024,AGO,24,01:24 p. m.,E50,-69.5211,-15.6687,245.0,12.0,0.5,13.7,8.57,6.55,1559.0,0.024,0.003,0.064,1.61,3.75
838,LAGO MAYOR,2024,AGO,24,11:55 a. m.,E51,-69.6038,-15.7371,182.0,11.5,0.5,13.1,8.55,6.62,1561.0,0.042,0.004,0.003,0.51,7.50
839,LAGO MAYOR,2024,AGO,24,02:57 p. m.,E52,-69.6843,-15.8028,15.0,11.0,0.5,12.9,8.62,6.75,1563.0,0.025,0.003,0.002,1.10,6.25
840,LAGO MAYOR,2024,AGO,24,08:38 a. m.,E53,-69.7634,-15.8686,15.0,9.0,0.5,12.6,8.59,6.65,1560.0,0.017,0.005,0.002,2.15,3.25
841,LAGO MAYOR,2024,AGO,26,01:20 p. m.,E58,-69.5453,-15.9519,15.1,9.0,0.5,14.2,8.61,6.67,1558.0,0.030,0.003,0.002,1.10,1.00
842,LAGO MAYOR,2024,AGO,26,10:15 a. m.,E59,-69.4615,-15.8876,183.0,10.5,0.5,13.4,8.53,6.40,1557.0,0.023,0.010,0.002,1.62,4.75
843,LAGO MAYOR,2024,AGO,25,04:35 p. m.,E60,-69.3776,-15.8271,236.0,12.0,0.5,14.3,8.60,6.52,1559.0,0.033,0.011,0.003,0.51,1.75
844,LAGO MAYOR,2024,AGO,25,01:45 p. m.,E61,-69.3045,-15.7585,239.0,12.0,0.5,13.8,8.60,6.72,1556.0,0.027,0.005,0.004,1.53,2.00
845,LAGO MAYOR,2024,AGO,25,01:18 p. m.,E65,-69.2315,-15.6901,5.8,,0.5,13.5,8.63,7.03,1559.0,0.051,0.005,0.002,1.61,2.00
846,LAGO MAYOR,2024,AGO,25,12:04 p. m.,E72,-69.1709,-15.6921,21.7,4.8,0.5,13.3,8.61,6.73,1519.0,0.017,0.004,0.005,1.10,2.25
847,LAGO MAYOR,2024,AGO,25,04:05 p. m.,E76,-69.0449,-15.8125,30.0,12.0,0.5,14.1,8.55,6.57,1556.0,0.011,0.004,0.002,1.53,2.00
848,LAGO MAYOR,2024,AGO,27,08:30 a. m.,B03,-69.4270,-15.9948,36.0,11.0,0.5,13.1,8.66,6.69,1566.0,0.011,0.001,0.002,1.02,3.25
849,LAGO MAYOR,2024,AGO,27,02:50 p. m.,E78,-69.1327,-15.8903,229.0,10.5,0.5,13.7,8.59,6.64,1560.0,0.020,0.006,0.002,0.51,1.50
850,LAGO MAYOR,2024,AGO,27,12:35 p. m.,E79,-69.2272,-15.9600,165.0,9.5,0.5,13.6,8.59,6.60,1562.0,0.013,0.007,0.002,1.53,4.00
851,LAGO MAYOR,2024,AGO,27,09:39 a. m.,E80,-69.3198,-16.0316,162.0,15.0,0.5,13.3,8.62,6.63,1562.0,0.013,0.005,0.024,1.53,11.50
852,LAGO MAYOR,2024,AGO,28,10:20 a. m.,E82,-69.4173,-16.1109,77.0,9.0,0.5,13.9,8.61,6.66,1565.0,0.032,0.005,0.002,1.97,1.50
853,LAGO MAYOR,2024,AGO,28,12:05 p. m.,E83,-69.5067,-16.1837,14.2,8.5,0.5,14.6,8.65,6.60,1562.0,0.023,0.005,0.002,2.56,1.00
854,LAGO MAYOR,2024,AGO,29,07:30 a. m.,E88,-69.3781,-16.2064,52.0,9.5,0.5,13.3,8.61,6.67,1566.0,0.012,0.005,0.002,1.53,8.00
855,LAGO MAYOR,2024,AGO,29,09:00 a. m.,E94,-69.2884,-16.2510,49.0,9.5,0.5,13.9,8.66,6.78,1569.0,0.012,0.004,0.002,1.53,1.50
856,LAGO MAYOR,2024,AGO,29,10:50 a. m.,E97,-69.1958,-16.1757,115.0,13.5,0.5,14.0,8.66,6.75,1564.0,0.107,0.006,0.002,1.02,9.00
857,LAGO MAYOR,2024,AGO,29,03:35 p. m.,E98,-69.1103,-16.1056,134.0,13.0,0.5,14.1,8.65,6.72,1567.0,0.027,0.003,0.002,1.10,1.75
858,LAGO MAYOR,2024,AGO,30,08:56 a. m.,E99,-69.0742,-16.0745,53.0,9.5,0.5,13.0,8.62,6.67,1562.0,0.026,0.004,0.002,1.10,10.25
859,LAGO MAYOR,2024,AGO,30,10:40 a. m.,E100,-68.9959,-16.0055,193.0,11.0,0.5,12.8,8.51,6.26,1564.0,0.027,0.005,0.002,1.18,1.00
860,LAGO MAYOR,2024,AGO,30,12:42 p. m.,E103,-68.9017,-15.9394,17.0,11.0,0.5,13.7,8.58,6.42,1564.0,0.017,0.005,0.002,1.45,0.25
861,LAGO MAYOR,2024,AGO,30,01:40 p. m.,E105,-68.8016,-15.9864,22.0,8.5,0.5,12.9,8.62,6.67,1562.0,0.019,0.004,0.002,2.72,1.75
862,LAGO MAYOR,2024,AGO,29,12:05 p. m.,E113,-69.1367,-16.2174,30.5,13.5,0.5,14.7,8.69,6.91,1562.0,0.007,0.003,0.002,0.94,0.50
863,LAGO MAYOR,2024,AGO,29,04:45 p. m.,E117,-69.1027,-16.1653,75.0,12.0,0.5,14.2,8.61,6.68,1563.0,0.012,0.005,0.002,1.02,6.00
864,LAGO MAYOR,2024,AGO,30,04:12 p. m.,E120,-68.9337,-16.1264,180.0,10.5,0.5,14.0,8.58,6.63,1561.0,0.012,0.004,0.090,2.05,1.25
865,LAGO MAYOR,2024,AGO,30,04:50 p. m.,E121,-68.8643,-16.2068,115.0,12.7,0.5,13.9,8.64,6.68,1561.0,0.018,0.003,0.053,0.51,1.00
866,LAGO MENOR,2024,AGO,31,07:28 a. m.,E122,-68.8361,-16.2276,40,11.0,0.5,12.9,8.61,6.56,1583.0,0.054,0.004,0.006,1.02,1.75
867,LAGO MENOR,2024,SET,1,07:27 a. m.,E125,-68.7843,-16.2626,5.5,2.5,0.5,11.3,8.60,6.28,1619.0,0.014,0.003,0.002,2.72,11.50
868,LAGO MENOR,2024,SET,1,08:25 a. m.,P02,-68.7330,-16.2135,39,9.5,0.5,12.5,8.59,6.20,1606.0,0.025,0.002,0.002,1.02,1.75
869,LAGO MENOR,2024,SET,1,09:56 a. m.,P03,-68.6912,-16.2158,6.8,3.5,0.5,11.2,8.65,6.54,1623.0,0.022,0.006,0.002,3.24,5.50
870,LAGO MENOR,2024,SET,1,10:50 a. m.,P04,-68.6012,-16.2544,2.7,1.5,0.5,11.5,8.70,6.79,1621.0,0.017,0.003,0.002,1.70,16.25
871,LAGO MENOR,2024,SET,1,12:13 p. m.,E127,-68.6226,-16.2180,7.7,2.0,0.5,12.2,8.65,6.54,1638.0,0.011,0.005,0.003,2.13,12.50
872,LAGO MENOR,2024,AGO,31,11:20 a. m.,E129,-68.7808,-16.3339,14,4.5,0.5,12.4,8.50,6.62,2014.0,0.025,0.005,0.003,2.05,1.00
873,LAGO MENOR,2024,AGO,31,12:50 p. m.,E135,-69.0601,-16.2659,10,4.0,0.5,13.3,8.68,6.78,2013.0,0.026,0.005,0.002,2.20,4.50
874,LAGO MENOR,2024,AGO,31,03:34 p. m.,E138,-68.8334,-16.4011,12.6,4.5,0.5,12.5,8.54,6.82,2014.0,0.031,0.005,0.002,1.10,2.25
875,LAGO MENOR,2024,AGO,31,04:41 p. m.,P15,-68.8495,-16.3119,11.3,4.0,0.5,13.7,8.76,6.98,1980.0,0.024,0.004,0.002,1.62,3.50
876,LAGO MENOR,2024,AGO,31,02:00 p. m.,E141,-69.0073,-16.3764,13.7,,0.5,13.1,8.57,6.80,2013.0,0.022,0.018,0.312,0.59,1.75
877,LAGO MENOR,2024,AGO,31,03:00 p. m.,E142,-68.9980,-16.4515,11.2,4.0,0.5,13.1,8.67,6.77,2013.0,0.063,0.005,0.304,1.62,9.25
878,LAGO MENOR,2024,SET,2,08:10 a. m.,E145,-68.9770,-16.5139,8,3.5,0.5,12.5,8.74,6.84,2005.0,0.020,0.002,0.006,1.62,0.50
879,LAGO MENOR,2024,SET,1,04:32 p. m.,E148,-69.0596,-16.4930,1.7,,0.5,13.4,9.25,7.83,2024.0,0.022,0.007,0.002,1.62,6.50
880,LAGO MENOR,2024,SET,2,06:49 a. m.,P10,-68.8723,-16.5821,4.8,3.0,0.5,12.3,9.12,5.74,2054.0,0.023,0.003,0.002,2.16,3.50
881,LAGO MENOR,2024,SET,2,10:25 a. m.,P11,-69.0356,-16.5583,2.5,,0.5,13.3,8.67,5.70,2017.0,0.023,0.003,0.002,3.75,4.00
